artist,count
Jagged Edge,15881
Opeth,15879
Sam Cooke,15841
James Blake,15822
Busy Signal,15813
Young the Giant,15811
Belinda Carlisle,15807
Iggy Azalea,15691
Alesana,15678
Goldfrapp,15668
INFINITE,15647
Curtis Mayfield,15621
CeCe Winans,15608
渡辺美里,15592
Suede,15591
Flyleaf,15583
kors k,15574
阿部真央,15573
Tom Waits,15566
Scarface,15542
Buckcherry,15513
The One,15436
Spandau Ballet,15422
Three Dog Night,15415
Alejandro Sanz,15409
Ratt,15406
Benny Goodman,15365
Noah,15356
Lullaby,15346
In This Moment,15329
Mötley Crüe,15327
Enya,15294
Regina Spektor,15291
Cody Simpson,15287
ASKA,15214
Pretenders,15213
Keri Hilson,15190
Muddy Waters,15183
Iron & Wine,15181
Kate Bush,15176
Relient K,15153
Bonnie Tyler,15148
Band of Horses,15133
Thompson Twins,15125
Easton Corbin,15122
Tank,15053
Mario,15049
Pressure,15047
Jordin Sparks,15035
Sevendust,15001
The Civil Wars,14998
SPYAIR,14989
The Allman Brothers Band,14976
Colors,14966
Nicole Scherzinger,14956
Steven Curtis Chapman,14951
èŠ±æ¾¤é¦™èœ,14933
Superstar,14932
112,14923
Nothings Carved in Stone,14900
Biffy Clyro,14880
Black,14855
Damien Rice,14845
Kim Wilde,14829
松田聖子,14827
Control,14823
Howard Jones,14805
Level 42,14799
FLOW,14793
Motörhead,14782
Editors,14779
いとうかなこ,14767
Badfinger,14749
Paula Abdul,14737
DEVO,14732
Tamar Braxton,14728
Johnny Gill,14727
En Vogue,14705
ZAQ,14703
Crystal Castles,14692
Ministry,14674
Wilco,14671
Peterpan,14641
Tenth Avenue North,14613
BOØWY,14565
Loverboy,14556
The Roots,14555
As I Lay Dying,14550
Vince Gill,14536
The Corrs,14527
Tony Bennett,14494
Gustavo Cerati,14489
Kem,14484
RIP SLYME,14479
Girls Generation,14458
Four Tops,14457
The OJays,14453
Montgomery Gentry,14411
Will Smith,14411
Charlie Wilson,14407
Of Mice & Men,14404
Sixpence None the Richer,14399
TM Network,14376
Amy Grant,14371
銀杏BOYZ,14362
JLS,14352
Cinderella,14344
Testament,14342
AIR,14337
Sevyn Streeter,14323
Dru Hill,14305
Brandon Heath,14299
Natalie Imbruglia,14291
Jeremih,14287
Rick Springfield,14274
神聖かまってちゃん,14273
Peter Frampton,14269
Jeff Beck,14253
school food punishment,14248
The Jam,14242
Passion,14233
Suicide Silence,14227
Etta James,14220
The Stranglers,14202
Pixie Lott,14196
Quiet Riot,14178
Audio Adrenaline,14164
Silversun Pickups,14142
The Cab,14141
Conor Maynard,14105
globe,14105
If,14101
Kelis,14095
Bassnectar,14083
Sly & The Family Stone,14075
Jamie Cullum,14074
Nena,14071
Enigma,14048
Jerrod Niemann,14012
